* Geometrical mapping within one FEE card
* x  z  CSP ALTRO  Hi Lo
*-----------------------
  0  1   0   2     10 11
  1  1   1   2     14 15
  2  1   2   2      5  4
  3  1   3   2      1  0
  4  1   4   3      1  0
  5  1   5   3      5  4
  6  1   6   3     14 15
  7  1   7   3     10 11
*-----------------------
  0  0  16   2      8  9
  1  0  17   2     12 13
  2  0  18   2      7  6
  3  0  19   2      3  2
  4  0  20   3      3  2
  5  0  21   3      7  6
  6  0  22   3     12 13
  7  0  23   3      8  9
*-----------------------
 15  1  15   4      8  9
 14  1  14   4     12 13
 13  1  13   4      7  6
 12  1  12   4      3  2
 11  1  11   0      3  2
 10  1  10   0      7  6
  9  1   9   0     12 13
  8  1   8   0      8  9
*-----------------------
 15  0  31   4     10 11
 14  0  30   4     14 15
 13  0  29   4      5  4
 12  0  28   4      1  0
 11  0  27   0      1  0
 10  0  26   0      5  4
  9  0  25   0     14 15
  8  0  24   0     10 11
*-----------------------
