# Motif O6
#
#connecteur_berg kapton padname not_used
#for slats there's no kapton connector, so it's always 1 (zero make the reader
#abort, so it's not a valid value here).
#
75	1	1	-
74	1	2	-
73	1	3	-
72	1	4	-
71	1	5	-
70	1	6	-
69	1	7	-
68	1	8	-
67	1	9	-
66	1	10	-
65	1	11	-
64	1	12	-
63	1	13	-
62	1	14	-
61	1	15	-
60	1	16	-
59	1	17	-
58	1	18	-
57	1	19	-
56	1	20	-
55	1	21	-
54	1	22	-
53	1	23	-
52	1	24	-
2	1	25	-
3	1	26	-
4	1	27	-
5	1	28	-
6	1	29	-
7	1	30	-
8	1	31	-
9	1	32	-
10	1	33	-
11	1	34	-
12	1	35	-
13	1	36	-
14	1	37	-
15	1	38	-
16	1	39	-
17	1	40	-
18	1	41	-
19	1	42	-
20	1	43	-
21	1	44	-
22	1	45	-
23	1	46	-
24	1	47	-
25	1	48	-
26	1	49	-
27	1	50	-
28	1	51	-
29	1	52	-
30	1	53	-
31	1	54	-
32	1	55	-
33	1	56	-
