  1    GND
  2     31
  3     30
  4     29
  5     28
  6     27
  7     26
  8     25
  9     24
 10     23
 11     22
 12     21
 13     20
 14     19
 15     18
 16     17
 17     16
 18     15
 19     14
 20     13
 21     12
 22     11
 23     10
 24      9
 25      8
 26      7
 27      6
 28      5
 29      4
 30      3
 31      2
 32      1
 33      0
 34    GND
 35   CAL.
 36     NC
 37  TKOUT
 38     NC
 39    GND
 40     NC
 41     NC
 42     NC
 43     NC
 44     NC
 45     NC
 46     NC
 47    GND
 48  +2,5V
 49  -2,5V
 50  +3,3V
 51    GND
 52     48
 53     49
 54     50
 55     51
 56     52
 57     53
 58     54
 59     55
 60     56
 61     57
 62     58
 63     59
 64     60
 65     61
 66     62
 67     63
 68     32
 69     33
 70     34
 71     35
 72     36
 73     37
 74     38
 75     39
 76     40
 77     41
 78     42
 79     43
 80     44
 81     45
 82     46
 83     47
 84 TXDATA
 85     NC
 86     NC
 87   TKIN
 88  DATA3
 89  TXCLK
 90  DATA2
 91  TRIG.
 92  DATA1
 93     MR
 94  DATA0
 95   ACKL
 96   CLKL
 97    GND
 98  +2,5V
 99  -2,5V
100  +3,3V
