ET1/D:ET2/D:ET3/D:ET4/D:UGEM1/D:UGEM2/D:UGEM3/D:UGEM4/D:AnodeCurrent/D:CathodeCurrent/D:IB/D:PeakPosition/D:FWHM/D:CorrFWHM/D:RelFWHM/D:Sigma/D:Gain/D:UGEM3overUGEM4/D
2000	1000	100	4000	315	235	260	324	18.1	0.331	1.83	767	187	185.8	24.2	10.3	2000	0.8
3000	1000	100	4000	315	235	260	324	17.4	0.315	1.81	766	189	187.8	24.5	10.4	2000	0.8
4000	1000	100	4000	315	235	260	325	17.2	0.312	1.81	765	190	188.8	24.7	10.5	2000	0.8
5000	1000	100	4000	315	235	258	322	17.3	0.332	1.92	763	187	185.8	24.3	10.4	2000	0.8
6000	1000	100	4000	315	235	248	310	17.4	0.425	2.44	763	207	205.9	27.0	11.5	2000	0.8
2000	2000	100	4000	315	235	264	332	17.8	0.224	1.26	763	191	189.8	24.9	10.6	2000	0.8
3000	2000	100	4000	315	235	264	334	17.2	0.222	1.29	769	194	192.8	25.1	10.7	2000	0.8
4000	2000	100	4000	315	235	264	332	16.9	0.224	1.33	761	194	192.8	25.3	10.8	2000	0.8
5000	2000	100	4000	315	235	262	328	17	0.25	1.47	769	192	190.8	24.8	10.6	2000	0.8
6000	2000	100	4000	315	235	252	315	17	0.341	2.01	760	208	206.9	27.2	11.6	2000	0.8
2000	3000	100	4000	315	235	266	332	17.7	0.218	1.23	761	191	189.8	24.9	10.6	2000	0.8
3000	3000	100	4000	315	235	266	331	17	0.212	1.25	759	193	191.8	25.3	10.8	2000	0.8
4000	3000	100	4000	315	235	266	333	17.1	0.214	1.25	770	195	193.8	25.2	10.7	2000	0.8
5000	3000	100	4000	315	235	263	329	17.1	0.24	1.40	771	192	190.8	24.7	10.5	2000	0.8
2000	1000	200	4000	315	235	249	310	17.6	0.369	2.10	763	181	179.7	23.6	10.0	2000	0.8
3000	1000	200	4000	315	235	249	311	17.4	0.355	2.04	768	185	183.8	23.9	10.2	2000	0.8
4000	1000	200	4000	315	235	249	313	17.4	0.35	2.01	771	188	186.8	24.2	10.3	2000	0.8
5000	1000	200	4000	315	235	247	308	17.3	0.374	2.16	763	182	180.7	23.7	10.1	2000	0.8
6000	1000	200	4000	315	235	236	297	17.6	0.472	2.68	773	207	205.9	26.6	11.3	2000	0.8
2000	2000	200	4000	315	235	252	316	17.2	0.244	1.42	761	184	182.8	24.0	10.2	2000	0.8
3000	2000	200	4000	315	235	253	316	17.1	0.24	1.40	768	190	188.8	24.6	10.5	2000	0.8
4000	2000	200	4000	315	235	253	316	17.1	0.243	1.42	773	190	188.8	24.4	10.4	2000	0.8
5000	2000	200	4000	315	235	250	314	17	0.268	1.58	768	186	184.8	24.1	10.2	2000	0.8
6000	2000	200	4000	315	235	240	301	17.1	0.364	2.13	762	210	208.9	27.4	11.7	2000	0.8
2000	3000	200	4000	315	235	255	319	17.2	0.221	1.28	762	187	185.8	24.4	10.4	2000	0.8
3000	3000	200	4000	315	235	256	319	17.1	0.214	1.25	772	192	190.8	24.7	10.5	2000	0.8
4000	3000	200	4000	315	235	256	320	16.7	0.216	1.29	761	191	189.8	24.9	10.6	2000	0.8
5000	3000	200	4000	315	235	253	317	16.9	0.242	1.43	772	190	188.8	24.5	10.4	2000	0.8
2000	1000	300	4000	315	235	244	306	17.4	0.396	2.28	759	179	177.7	23.4	10.0	2000	0.8
3000	1000	300	4000	315	235	244	307	17.2	0.379	2.20	765	184	182.8	23.9	10.2	2000	0.8
4000	1000	300	4000	315	235	245	308	17.3	0.376	2.17	771	185	183.8	23.8	10.1	2000	0.8
5000	1000	300	4000	315	235	243	303	17.2	0.398	2.31	765	184	182.8	23.9	10.2	2000	0.8
6000	1000	300	4000	315	235	232	292	17.6	0.495	2.81	770	208	206.9	26.9	11.4	2000	0.8
2000	2000	300	4000	315	235	248	311	17.3	0.252	1.46	760	184	182.8	24.0	10.2	2000	0.8
3000	2000	300	4000	315	235	248	312	17.1	0.246	1.44	765	189	187.8	24.5	10.4	2000	0.8
4000	2000	300	4000	315	235	249	313	17.1	0.249	1.46	769	189	187.8	24.4	10.4	2000	0.8
5000	2000	300	4000	315	235	247	308	17.1	0.276	1.61	764	185	183.8	24.1	10.2	2000	0.8
6000	2000	300	4000	315	235	236	297	17.4	0.374	2.15	768	209	207.9	27.1	11.5	2000	0.8
2000	3000	300	4000	315	235	252	313	17.3	0.227	1.31	764	187	185.8	24.3	10.3	2000	0.8
3000	3000	300	4000	315	235	252	314	17.1	0.221	1.29	772	191	189.8	24.6	10.5	2000	0.8
4000	3000	300	4000	315	235	252	315	16.8	0.221	1.32	761	191	189.8	24.9	10.6	2000	0.8
5000	3000	300	4000	315	235	250	311	17	0.247	1.45	772	190	188.8	24.5	10.4	2000	0.8
4000	4000	100	4000	315	235	268	335	17.3	0.214	1.24	775	196	194.8	25.1	10.7	2000	0.8
4000	2000	100	1000	315	235	286	355	16.1	0.268	1.66	769	190	188.8	24.6	10.4	2000	0.8
4000	2000	100	2000	315	235	272	340	15.9	0.244	1.53	769	190	188.8	24.6	10.4	2000	0.8
4000	2000	100	3000	315	235	266	332	16	0.237	1.48	760	187	185.8	24.4	10.4	2000	0.8
4000	2000	100	4000	315	235	263	329	17	0.235	1.38	772	190	188.8	24.5	10.4	2000	0.8
4000	2000	100	5000	315	235	260	324	18.6	0.233	1.25	771	190	188.8	24.5	10.4	2000	0.8
4000	2000	100	6000	315	235	253	316	21.7	0.229	1.06	760	192	190.8	25.1	10.7	2000	0.8

