# Pion-pion partial-wave data, analysis of Froggatt and Petersen
#  Nucl. Phys. B129 (1977) 89-110
# Notation for column headers is L,2I

set eType   Wcm
set eUnit   GeV
set input   eta,delta
set dUnit   deg
set norm    1

# Elastic region
Wcm   0,0         0,4         1,2         2,0         2,4        3,2
0.30  1.00 7.1    1.00 -0.6   1.00 0.1    1.00 0.0    1.00 0.0   1.00  0.0
0.32  1.00 10.7   1.00 -1.2   1.00 0.4    1.00 0.0    1.00 0.0   1.00  0.0
0.34  1.00 14.0   1.00 -1.8   1.00 0.7    1.00 0.0    1.00 0.0   1.00  0.0
0.36  1.00 17.1   1.00 -2.4   1.00 1.0    1.00 0.0    1.00 0.0   1.00  0.0
0.38  1.00 20.2   1.00 -3.1   1.00 1.5    1.00 0.0    1.00 0.0   1.00  0.0
0.40  1.00 23.3   1.00 -3.7   1.00 2.0    1.00 0.0    1.00 0.0   1.00  0.0
0.42  1.00 26.4   1.00 -4.3   1.00 2.5    1.00 0.0    1.00 0.0   1.00  0.0
0.44  1.00 29.6   1.00 -5.0   1.00 3.2    1.00 0.0    1.00 0.0   1.00  0.0
0.46  1.00 32.7   1.00 -5.6   1.00 4.0    1.00 0.0    1.00 0.0   1.00  0.0
0.48  1.00 35.8   1.00 -6.2   1.00 4.9    1.00 0.0    1.00 0.0   1.00  0.0
0.50  1.00 39.0   1.00 -6.8   1.00 5.9    1.00 0.0    1.00 0.0   1.00  0.0
0.52  1.00 42.1   1.00 -7.4   1.00 7.1    1.00 0.0    1.00 0.0   1.00  0.0
0.54  1.00 45.1   1.00 -8.0   1.00 8.5    1.00 0.0    1.00 0.0   1.00  0.0
0.56  1.00 48.2   1.00 -8.6   1.00 10.1   1.00 0.0    1.00 0.0   1.00  0.0
0.58  1.00 51.2   1.00 -9.1   1.00 12.1   1.00 0.0    1.00 0.0   1.00  0.0
0.60  1.00 54.1   1.00 -9.6   1.00 14.4   1.00 0.0    1.00 0.0   1.00  0.0
0.62  1.00 57.0   1.00 -10.1  1.00 17.3   1.00 0.0    1.00 0.0   1.00  0.0
0.64  1.00 59.9   1.00 -10.6  1.00 20.9   1.00 0.0    1.00 0.0   1.00  0.0
0.66  1.00 62.7   1.00 -11.1  1.00 25.4   1.00 0.0    1.00 0.0   1.00  0.0
0.68  1.00 65.5   1.00 -11.5  1.00 31.2   1.00 0.0    1.00 0.0   1.00  0.0
0.70  1.00 68.3   1.00 -12.0  1.00 38.7   1.00 0.0    1.00 0.0   1.00  0.0
0.72  1.00 71.1   1.00 -12.4  1.00 48.4   1.00 0.0    1.00 0.0   1.00  0.0
0.74  1.00 73.9   1.00 -12.8  1.00 60.6   1.00 0.0    1.00 0.0   1.00  0.0
0.76  1.00 76.7   1.00 -13.2  1.00 74.9   1.00 0.0    1.00 0.0   1.00  0.0
0.78  1.00 79.6   1.00 -13.6  1.00 90.0   1.00 0.0    1.00 0.0   1.00  0.0
0.80  1.00 82.5   1.00 -13.9  1.00 103.8  1.00 0.0    1.00 0.0   1.00  0.0
0.82  1.00 85.6   1.00 -14.3  1.00 115.3  1.00 0.0    1.00 0.0   1.00  0.0
0.84  1.00 88.8   1.00 -14.6  1.00 124.3  1.00 0.0    1.00 0.0   1.00  0.0
0.86  1.00 92.4   1.00 -14.9  1.00 131.3  1.00 0.0    1.00 0.0   1.00  0.0
0.88  1.00 96.3   1.00 -15.2  1.00 136.7  1.00 0.0    1.00 0.0   1.00  0.0
0.90  1.00 100.8  1.00 -15.5  1.00 141.0  1.00 0.0    1.00 0.0   1.00  0.0
0.92  1.00 106.3  1.00 -15.8  1.00 144.5  1.00 0.0    1.00 0.0   1.00  0.0
0.94  1.00 113.6  1.00 -16.1  1.00 147.3  1.00 0.0    1.00 0.0   1.00  0.0
0.96  1.00 124,5  1.00 -16.4  1.00 149.7  1.00 0.0    1.00 0.0   1.00  0.0
0.98  1.00 146.9  1.00 -16.6  1.00 151.8  1.00 0.0    1.00 0.0   1.00  0.0
# Inelastic region
1.01  0.24 35.9   1.00 -17.4  0.90 156.4  0.88 15.1   1.00 -1.7  1.00  0.1
1.03  0.20 45.3   1.00 -17.6  0.85 158.2  0.85 16.9   1.00 -1.8  1.00  0.1
1.05  0.27 59.9   1.00 -17.8  0.90 159.8  0.94 17.5   1.00 -1.9  1.00  0.2
1.07  0.57 80.0   1.00 -18.0  0.85 160.6  0.88 18.4   1.00 -1.9  0.99  0.3
1.09  0.53 68.2   1.00 -18.3  0.88 163.0  0.93 22.1   1.00 -2.0  0.99  0.4
1.11  0.65 72.1   0.99 -18.5  0.88 164.4  0.93 26.4   1.00 -2.1  0.99  0.4
1.13  0.65 74.2   0.99 -18.7  0.85 167.1  0.91 29.7   1.00 -2.2  0.98  0.3
1.15  0.59 80.0   0.98 -19.0  0.83 168.5  0.88 31.7   1.00 -2.3  0.98  0.5
1.17  0.61 79.9   0.98 -19.2  0.84 169.4  0.87 38.7   1.00 -2.4  0.97  0.2
1.19  0.60 84.6   0.97 -19.5  0.83 169.0  0.82 43.5   1.00 -2.5  0.98  0.5
