	1	0	 100.000000	 10.000000
	1	1	 130.000000	 12.000000
	1	2	 67.000000	  13.000000
	1	3	 144.000000	   15.000000
	1	4	 212.000000	   17.000000
	2	0	 133.000000	   20.000000
	2	1	 187.000000	   19.000000
	2	2	 299.000000	   18.000000
	2	3	 122.000000	   13.000000
	2	4	 132.000000	   9.000000
	3	1	 0.000000	0.000000
	3	2	 0.000000	0.000000
	4	0	 192.000000	   12.000000
	4	1	 100.000000	   11.000000
	4	2	 177.000000	   10.000000
	4	3	 188.000000	   12.000000
	4	4	 199.000000	   14.000000
	5	0	 177.000000	   17.000000
	5	1	 192.000000	   22.000000
	5	2	 223.000000	   15.000000
	5	3	 199.000000	   5.000000
	5	4	 113.000000	   19.000000
	1	5	 188.000000	   20.000000
	4	5	 199.000000	   21.000000
	1	0	 100.000000	 10.000000
	1	1	 130.000000	 12.000000
	1	2	 67.000000	  13.000000
	1	3	 144.000000	   15.000000
	1	4	 212.000000	   17.000000
	2	0	 133.000000	   20.000000
	2	1	 187.000000	   19.000000
	2	2	 299.000000	   18.000000
	2	3	 122.000000	   13.000000
	2	4	 132.000000	   9.000000
	3	1	 0.000000	0.000000
	3	2	 0.000000	0.000000
	4	0	 192.000000	   12.000000
	4	1	 100.000000	   11.000000
	4	2	 177.000000	   10.000000
	4	3	 188.000000	   12.000000
	4	4	 199.000000	   14.000000
	5	0	 177.000000	   17.000000
	5	1	 192.000000	   22.000000
	5	2	 223.000000	   15.000000
	5	3	 199.000000	   5.000000
	5	4	 113.000000	   19.000000
	1	5	 188.000000	   20.000000
	4	5	 199.000000	   21.000000
