* Geometrical mapping within one FEE card
* x  z  CSP ALTRO  Hi Lo
* $Id$
*-----------------------
  0  0   0   2     10 11
  1  0   1   2     14 15
  2  0   2   2      5  4
  3  0   3   2      1  0
  4  0   4   3      1  0
  5  0   5   3      5  4
  6  0   6   3     14 15
  7  0   7   3     10 11
*-----------------------
  0  1  16   2      8  9
  1  1  17   2     12 13
  2  1  18   2      7  6
  3  1  19   2      3  2
  4  1  20   3      3  2
  5  1  21   3      7  6
  6  1  22   3     12 13
  7  1  23   3      8  9
*-----------------------
 15  0  15   4     10 11
 14  0  14   4     14 15
 13  0  13   4      5  4
 12  0  12   4      1  0
 11  0  11   0      1  0
 10  0  10   0      5  4
  9  0   9   0     14 15
  8  0   8   0     10 11
*-----------------------
 15  1  31   4      8  9
 14  1  30   4     12 13
 13  1  29   4      7  6
 12  1  28   4      3  2
 11  1  27   0      3  2
 10  1  26   0      7  6
  9  1  25   0     12 13
  8  1  24   0      8  9
*-----------------------
