# Motif E7
#
#connecteur_berg kapton padname not_used
#for slats there's no kapton connector, so it's always 1 (zero make the reader
#abort, so it's not a valid value here).
#
83	1	1	-
82	1	2	-
81	1	3	-
80	1	4	-
79	1	5	-
78	1	6	-
77	1	7	-
76	1	8	-
75	1	9	-
74	1	10	-
73	1	11	-
72	1	12	-
71	1	13	-
70	1	14	-
69	1	15	-
68	1	16	-
67	1	17	-
3	1	18	-
2	1	19	-
52	1	20	-
53	1	21	-
54	1	22	-
55	1	23	-
56	1	24	-
57	1	25	-
58	1	26	-
59	1	27	-
60	1	28	-
61	1	29	-
62	1	30	-
63	1	31	-
64	1	32	-
65	1	33	-
66	1	34	-
20	1	35	-
19	1	36	-
18	1	37	-
17	1	38	-
16	1	39	-
15	1	40	-
14	1	41	-
13	1	42	-
12	1	43	-
11	1	44	-
10	1	45	-
9	1	46	-
8	1	47	-
7	1	48	-
6	1	49	-
5	1	50	-
4	1	51	-
30	1	52	-
29	1	53	-
28	1	54	-
27	1	55	-
26	1	56	-
25	1	57	-
24	1	58	-
23	1	59	-
22	1	60	-
21	1	61	-
33	1	62	-
32	1	63	-
31	1	64	-
